Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
14-02-2026,11:00,14-02-2026,,,Processed Flatex Withdrawal,,EUR,"-500,00",EUR,"312,18",
02-01-2026,09:00,02-01-2026,,,iDEAL storting,,EUR,"1000,00",EUR,"812,18",
31-12-2025,08:00,31-12-2025,,,DEGIRO Aansluitingskosten 2026 (Xetra - XET),,EUR,"-2,50",EUR,"-187,82",
15-12-2025,14:22,15-12-2025,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00B3RBWM25,Transactiebelasting,,EUR,"-0,30",EUR,"685,32",
15-12-2025,14:22,15-12-2025,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00B3RBWM25,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"685,62",
15-12-2025,14:22,15-12-2025,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00B3RBWM25,"Verkoop 7 @ 112,40 EUR",,EUR,"786,80",EUR,"687,62",c3d4e5f6-0000-0000-0000-000000000003
30-09-2025,15:00,30-09-2025,,,Valuta Creditering,,EUR,"18,62",EUR,"-98,88",
30-09-2025,15:00,30-09-2025,,,Valuta Debitering,"1,0920",USD,"-20,33",USD,"0,00",
30-09-2025,15:00,30-09-2025,ISHARES CORE MSCI WORLD UCITS ETF,IE00B4L5Y983,Dividend,,USD,"20,33",USD,"20,33",
30-06-2025,07:00,30-06-2025,,,Flatex Interest,,EUR,"-0,41",EUR,"-117,50",
15-03-2025,10:32,15-03-2025,ISHARES CORE MSCI WORLD UCITS ETF,IE00B4L5Y983,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"-117,09",
15-03-2025,10:32,15-03-2025,ISHARES CORE MSCI WORLD UCITS ETF,IE00B4L5Y983,"Koop 15 @ 76,50 EUR",,EUR,"-1147,50",EUR,"-115,09",b2c3d4e5-0000-0000-0000-000000000002
03-01-2025,09:00,03-01-2025,,,flatex Storting,,EUR,"500,00",EUR,"1032,41",
31-12-2024,08:00,31-12-2024,,,DEGIRO Aansluitingskosten 2025 (Xetra - XET),,EUR,"-2,50",EUR,"532,41",
